date,camera,task,footage,timestamps
26-04-26,C1627,,GX010091.MP4,
26-04-26,C1627,,GX010092.MP4,
26-04-26,C1627,,GX010093.MP4,
26-04-26,C1627,,GX010094.MP4,
26-04-26,C1627,,GX010095.MP4,
26-04-26,C1627,,GX010096.MP4,
26-04-26,C1627,,GX010097.MP4,
26-04-26,C1627,,GX010098.MP4,
26-04-26,C1627,,GX010099.MP4,
26-04-26,C1627,,GX010100.MP4,
26-04-26,C1627,,GX010101.MP4,
26-04-26,C2196,,GX022658.MP4,
26-04-26,C2196,,GX022666.MP4,
26-04-26,C2196,,GX022668.MP4,
26-04-26,C2196,,GX022670.MP4,
26-04-26,C2196,,GX022671.MP4,
26-04-26,C2196,,GX022672.MP4,
26-04-26,C2196,,GX032658.MP4,
26-04-26,C2196,,GX032664.MP4,
26-04-26,C2196,,GX032665.MP4,
26-04-26,C2196,,GX032666.MP4,
26-04-26,C2196,,GX032667.MP4,
26-04-26,C2196,,GX032668.MP4,
26-04-26,C2196,,GX032671.MP4,
26-04-26,C2196,,GX042664.MP4,
26-04-26,C2196,,GX042665.MP4,
26-04-26,C2196,,GX042667.MP4,
26-04-26,C2196,,GX042671.MP4,
26-04-26,C2196,,GX052661.MP4,
26-04-26,C2196,,GX052664.MP4,
26-04-26,C2196,,GX052670.MP4,
26-04-26,C2196,,GX052671.MP4,
26-04-26,C2196,,GX062665.MP4,
26-04-26,C2196,,GX062667.MP4,
26-04-26,C2196,,GX062670.MP4,
26-04-26,C2196,,GX062671.MP4,
26-04-26,C2196,,GX072667.MP4,
26-04-26,C2196,,GX072671.MP4,
26-04-26,C4961,,GX024863.MP4,
26-04-26,C4961,,GX034846.MP4,
26-04-26,C4961,,GX034847.MP4,
26-04-26,C4961,,GX034848.MP4,
26-04-26,C4961,,GX034850.MP4,
26-04-26,C4961,,GX034851.MP4,
26-04-26,C4961,,GX034856.MP4,
26-04-26,C4961,,GX034857.MP4,
26-04-26,C4961,,GX034858.MP4,
26-04-26,C4961,,GX034859.MP4,
26-04-26,C4961,,GX034860.MP4,
26-04-26,C4961,,GX034862.MP4,
26-04-26,C4961,,GX034863.MP4,
26-04-26,C4961,,GX044847.MP4,
26-04-26,C4961,,GX044848.MP4,
26-04-26,C4961,,GX044851.MP4,
26-04-26,C4961,,GX044856.MP4,
26-04-26,C4961,,GX044857.MP4,
26-04-26,C4961,,GX044858.MP4,
26-04-26,C4961,,GX044859.MP4,
26-04-26,C4961,,GX044860.MP4,
26-04-26,C4961,,GX044862.MP4,
26-04-26,C4961,,GX044863.MP4,
26-04-26,C4961,,GX054851.MP4,
26-04-26,C4961,,GX054856.MP4,
26-04-26,C4961,,GX054858.MP4,
26-04-26,C4961,,GX054860.MP4,
26-04-26,C4961,,GX054862.MP4,
26-04-26,C4961,,GX054863.MP4,
26-04-26,C4961,,GX064851.MP4,
26-04-26,C4961,,GX064858.MP4,
26-04-26,C4961,,GX064862.MP4,
26-04-26,C4961,,GX064863.MP4,
26-04-26,C4961,,GX074851.MP4,
26-04-26,C4961,,GX074862.MP4,
26-04-26,C5006,,GX011406.MP4,
26-04-26,C5006,,GX011408.MP4,
26-04-26,C5006,,GX011409.MP4,
26-04-26,C5006,,GX011410.MP4,
26-04-26,C5006,,GX011414.MP4,
26-04-26,C5006,,GX011417.MP4,
26-04-26,C5006,,GX011419.MP4,
26-04-26,C5006,,GX021410.MP4,
26-04-26,C5006,,GX021417.MP4,
26-04-26,C5006,,GX031406.MP4,
26-04-26,C5006,,GX031407.MP4,
26-04-26,C5006,,GX031409.MP4,
26-04-26,C5006,,GX031414.MP4,
26-04-26,C5006,,GX031415.MP4,
26-04-26,C5006,,GX031417.MP4,
26-04-26,C5006,,GX041406.MP4,
26-04-26,C5006,,GX041407.MP4,
26-04-26,C5006,,GX041408.MP4,
26-04-26,C5006,,GX041409.MP4,
26-04-26,C5006,,GX051406.MP4,
26-04-26,C5006,,GX051408.MP4,
26-04-26,C5006,,GX061406.MP4,
26-04-26,C5006,,GX061408.MP4,
26-04-26,C5006,,GX061409.MP4,
26-04-26,C5006,,GX061410.MP4,
26-04-26,C5006,,GX061414.MP4,
26-04-26,C5006,,GX061417.MP4,
26-04-26,C5006,,GX071406.MP4,
26-04-26,C5006,,GX071408.MP4,
26-04-26,C5006,,GX071410.MP4,
26-04-26,C5006,,GX071414.MP4,
