archive,date,camera,task,footage,timestamps
Tasks,21-05-26,C4696,task-plastic-grinding,GX012396.MP4,
Tasks,21-05-26,C4696,task-shoveling,GX012395.MP4,
Tasks,21-05-26,C5006,task-plastic-moulding-machine-operation,GX011402.MP4,
Tasks,21-05-26,C5006,task-plastic-moulding-machine-operation,GX011403.MP4,
Tasks,21-05-26,C5006,task-plastic-moulding-machine-operation,GX021402.MP4,
Tasks,21-05-26,C5006,task-plastic-moulding-machine-operation,GX021403.MP4,
Tasks,21-05-26,C5006,task-plastic-moulding-machine-operation,GX031402.MP4,
Tasks,21-05-26,C5006,task-plastic-moulding-machine-operation,GX041402.MP4,
Tasks,21-05-26,C5223,task-plastic-moulding-machine-operation,GX014882.MP4,
Tasks,21-05-26,C8278,task-plastic-grinding,GX012217.MP4,
