archive,date,camera,task,footage,timestamps
urdu bazaar,04-06-26,C2920,task-manual-paper-gluing,GX014868.MP4,
urdu bazaar,04-06-26,C5006,task-notebook-cover-assembly,GX011405.MP4,
urdu bazaar,04-06-26,C5006,task-notebook-cover-assembly,GX021405.MP4,
urdu bazaar,05-06-26,C2920,task-book-cutting-machine-operation,GX014869.MP4,
urdu bazaar,05-06-26,C6279,task-notebook-cover-assembly,GX014896.MP4,
urdu bazaar,05-06-26,C6279,task-notebook-cover-assembly,GX014898.MP4,
urdu bazaar,23-05-26,C2196,task-paper-stacking,GX012656.MP4,
urdu bazaar,23-05-26,C2202,task-register-ring-binding,GX010302.MP4,
urdu bazaar,23-05-26,C6273,task-register-ring-binding,GX010125.MP4,
