archive,date,camera,task,footage,timestamps
YT,26-04-26,C1312,task-cardboard-folding,GX020105.MP4,
YT,26-04-26,C1312,task-cardboard-folding,GX040099.MP4,
YT,26-04-26,C1312,task-cardboard-folding,GX050105.MP4,
YT,26-04-26,C1312,task-folding-general,GX020107.MP4,
YT,26-04-26,C1312,task-folding-general,GX030107.MP4,
YT,26-04-26,C1312,task-folding-general,GX040107.MP4,
YT,26-04-26,C1312,task-folding-general,GX050107.MP4,
YT,26-04-26,C1312,task-folding-general,GX060107.MP4,
YT,26-04-26,C1312,task-folding-general,GX070107.MP4,
YT,26-04-26,C1312,task-folding-general,GX080107.MP4,
YT,26-04-26,C1312,task-Joint-Seam,GX010101.MP4,
YT,26-04-26,C1312,task-Joint-Seam,GX020101.MP4,
YT,26-04-26,C1312,task-Joint-Seam,GX020103.MP4,
YT,26-04-26,C1312,task-Joint-Seam,GX040101.MP4,
YT,26-04-26,C1312,task-Joint-Seam,GX040103.MP4,
YT,26-04-26,C1312,task-Joint-Seam,GX050101.MP4,
YT,26-04-26,C1312,task-Joint-Seam,GX060103.MP4,
YT,26-04-26,C1312,task-machine-cutting,GX010102.MP4,
YT,26-04-26,C1312,task-machine-cutting,GX010104.MP4,
YT,26-04-26,C1312,task-machine-cutting,GX020102.MP4,
YT,26-04-26,C1312,task-machine-cutting,GX020104.MP4,
YT,26-04-26,C1312,task-machine-cutting,GX030104.MP4,
YT,26-04-26,C1312,task-machine-cutting,GX040102.MP4,
YT,26-04-26,C1312,task-machine-cutting,GX040104.MP4,
YT,26-04-26,C1312,task-machine-cutting,GX050104.MP4,
YT,26-04-26,C1312,task-overlocking,GX010106.MP4,
YT,26-04-26,C1312,task-overlocking,GX020106.MP4,
YT,26-04-26,C1312,task-overlocking,GX030106.MP4,
YT,26-04-26,C9225,task-Binding-Pre-Fold,GX032089.MP4,
YT,26-04-26,C9225,task-Binding-Pre-Fold,GX052089.MP4,
YT,26-04-26,C9225,task-cardboard-folding,GX022082.MP4,
YT,26-04-26,C9225,task-cardboard-folding,GX032077.MP4,
YT,26-04-26,C9225,task-cardboard-folding,GX032082.MP4,
YT,26-04-26,C9225,task-cardboard-folding,GX042077.MP4,
YT,26-04-26,C9225,task-cardboard-folding,GX042082.MP4,
YT,26-04-26,C9225,task-Folding-Cardboard-Insert,GX012084.MP4,
YT,26-04-26,C9225,task-Folding-Cardboard-Insert,GX032084.MP4,
YT,26-04-26,C9225,task-Folding-Cardboard-Insert,GX042078.MP4,
YT,26-04-26,C9225,task-Folding-Cardboard-Insert,GX042084.MP4,
YT,26-04-26,C9225,task-Folding-Tagging,GX032087.MP4,
YT,26-04-26,C9225,task-Folding-Tagging,GX042087.MP4,
YT,26-04-26,C9225,task-Folding-Tagging,GX052087.MP4,
YT,26-04-26,C9225,task-joint-seam,GX012090.MP4,
YT,26-04-26,C9225,task-joint-seam,GX032086.MP4,
YT,26-04-26,C9225,task-joint-seam,GX042086.MP4,
YT,26-04-26,C9225,task-machine-cutting,GX012085.MP4,
YT,26-04-26,C9225,task-machine-cutting,GX022085.MP4,
YT,26-04-26,C9225,task-machine-cutting,GX022088.MP4,
YT,26-04-26,C9225,task-machine-cutting,GX032079.MP4,
YT,26-04-26,C9225,task-machine-cutting,GX032085.MP4,
YT,26-04-26,C9225,task-machine-cutting,GX042079.MP4,
YT,26-04-26,C9225,task-machine-cutting,GX042085.MP4,
YT,26-04-26,C9225,task-machine-cutting,GX042088.MP4,
YT,26-04-26,C9225,task-machine-cutting,GX052085.MP4,
YT,26-04-26,C9225,task-overlocking,GX012088.MP4,
YT,26-04-26,C9225,task-overlocking,GX032088.MP4,
