archive,date,camera,task,footage,timestamps
YT,22-04-26,C3836,task-stitching,GP031937.MP4,
YT,22-04-26,C3836,task-stitching,GP041937.MP4,
YT,22-04-26,C4031,task-bartacking,GX014287.MP4,
YT,22-04-26,C4031,task-bartacking,GX024287.MP4,
YT,22-04-26,C4031,task-bartacking,GX044287.MP4,
YT,22-04-26,C4031,task-bartacking,GX054287.MP4,
YT,22-04-26,C4031,task-bartacking,GX064287.MP4,
YT,22-04-26,C4031,task-bartacking,GX074287.MP4,
YT,22-04-26,C4031,task-loop-preparation,GX014289.MP4,
YT,22-04-26,C4031,task-loop-preparation,GX024289.MP4,
YT,22-04-26,C4031,task-loop-preparation,GX034289.MP4,
YT,22-04-26,C4031,task-loop-preparation,GX044289.MP4,
YT,22-04-26,C4031,task-loop-preparation,GX054289.MP4,
YT,22-04-26,C4031,task-stitching,GX014288.MP4,
YT,22-04-26,C4031,task-stitching,GX024288.MP4,
YT,22-04-26,C4031,task-stitching,GX034288.MP4,
YT,22-04-26,C4696,task-folding-general,GX012345.MP4,
YT,22-04-26,C4696,task-folding-general,GX022345.MP4,
YT,22-04-26,C4696,task-label-attachment,GX012343.MP4,
YT,22-04-26,C4696,task-label-attachment,GX022343.MP4,
YT,22-04-26,C4696,task-layering,GX012344.MP4,
YT,22-04-26,C4961,task-checking,GX014832.MP4,
YT,22-04-26,C4961,task-checking,GX024832.MP4,
YT,22-04-26,C4961,task-checking,GX034832.MP4,
YT,22-04-26,C4961,task-checking,GX044832.MP4,
YT,22-04-26,C4961,task-checking,GX054832.MP4,
YT,22-04-26,C4961,task-checking,GX064832.MP4,
YT,22-04-26,C4961,task-checking,GX074832.MP4,
YT,22-04-26,C4961,task-checking,GX084832.MP4,
YT,22-04-26,C4961,task-checking,GX094832.MP4,
YT,22-04-26,C4961,task-checking,GX104832.MP4,
YT,22-04-26,C4993,task-binding-pre-fold,GX010941.MP4,
YT,22-04-26,C4993,task-binding-pre-fold,GX020941.MP4,
YT,22-04-26,C4993,task-binding-pre-fold,GX030941.MP4,
YT,22-04-26,C4993,task-binding-pre-fold,GX040941.MP4,
YT,22-04-26,C4993,task-binding-pre-fold,GX050941.MP4,
YT,22-04-26,C4993,task-zip-attachment,GX010942.MP4,
YT,22-04-26,C4993,task-zip-attachment,GX010943.MP4,
YT,22-04-26,C4993,task-zip-attachment,GX020942.MP4,
YT,22-04-26,C4993,task-zip-attachment,GX020943.MP4,
YT,22-04-26,C4993,task-zip-attachment,GX030943.MP4,
YT,22-04-26,C5006,task-folding-general,GX011363.MP4,
YT,22-04-26,C5006,task-folding-general,GX021363.MP4,
YT,22-04-26,C5006,task-loop-attachment,GX011361.MP4,
YT,22-04-26,C5006,task-loop-attachment,GX021361.MP4,
YT,22-04-26,C5006,task-loop-attachment,GX031361.MP4,
YT,22-04-26,C5006,task-loop-attachment,GX041361.MP4,
YT,22-04-26,C5006,task-loop-attachment,GX051361.MP4,
YT,22-04-26,C5006,task-loop-attachment,GX061361.MP4,
YT,22-04-26,C5006,task-loop-attachment,GX071361.MP4,
YT,22-04-26,C5006,task-loop-attachment,GX091361.MP4,
YT,22-04-26,C5006,task-loop-attachment,GX101361.MP4,
YT,22-04-26,C5006,task-loop-attachment,GX111361.MP4,
YT,22-04-26,C5006,task-loop-attachment,GX121361.MP4,
YT,22-04-26,C5006,task-loop-attachment,GX131361.MP4,
YT,22-04-26,C5006,task-loop-attachment,GX141361.MP4,
YT,22-04-26,C5006,task-loop-attachment,GX151361.MP4,
YT,22-04-26,C5223,task-loop-attachment,GX014829.MP4,
YT,22-04-26,C5223,task-loop-attachment,GX014831.MP4,
YT,22-04-26,C5223,task-loop-attachment,GX024829.MP4,
